Category,Place_Organization,Address,The_Mission,The_Mission_FR,Why_Matters,Why_Matters_FR,Action_Item,Action_Item_FR,Mode_Of_Contact,Website_Link,Latitude,Longitude
Nature & Wildlife,Riverain Park,"400 N River Rd, Ottawa, ON K1L 8C3","To provide inclusive, riverfront recreation that connects the Vanier community directly to the Rideau River shoreline. ",Offrir une récréation riveraine inclusive qui connecte la communauté de Vanier directement au rivage de la rivière Rideau.,A beautiful riverside park with a hidden bonus: free public tennis/pickleball courts right next to the playground. It creates a green buffer for the Rideau River.,Un beau parc riverain avec un bonus caché : des terrains de tennis/pickleball publics gratuits juste à côté du terrain de jeu. Il crée une zone tampon verte pour la rivière Rideau.,"Pack your racquet for a match on the free courts, bring your dog to the off-leash area, or cycle the Rideau River Eastern Pathway to get here. ","Apportez votre raquette pour une partie sur les terrains gratuits, emmenez votre chien dans la zone sans laisse, ou pédalez sur le sentier est de la rivière Rideau pour y arriver.",,https://www.google.com/maps/search/?api=1&query=Riverain+Park+Ottawa,45.429821,-75.669555
Nature & Wildlife,Rideau River Eastern Pathway,Access via Hurdman Station (O-Train Line 1),"To provide a continuous, scenic active transportation route connecting Ottawa's southern communities directly to downtown along the river. ",Fournir un itinéraire de transport actif continu et pittoresque reliant les communautés du sud d'Ottawa au centre-ville le long de la rivière.,"This 12km pathway is a ""green highway"" for cyclists and pedestrains. It connects transit hubs (like Hurdman) to nature, reducing car reliance for commuters. ","Ce sentier de 12 km est une « autoroute verte » pour les cyclistes et les piétons. Il relie les carrefours de transport en commun (comme Hurdman) à la nature, réduisant la dépendance à la voiture.","Take the O-Train to Hurdman, hop on the path, and ride north toward the Ottawa River or south toward Mooney's Bay. ","Prenez le train léger jusqu'à Hurdman, montez sur le sentier et pédalez vers le nord vers la rivière des Outaouais ou vers le sud vers la baie Mooney.",,https://maps.app.goo.gl/ma5kyBkL9YYNCzXj7,45.409154,-75.671742
Nature & Wildlife,Plant & Curio,"173 Preston St, Ottawa, ON K1R 7P6","A women-owned shop specializing in affordable houseplants and handmade, local ceramics. ","Une boutique appartenant à des femmes, spécialisée dans les plantes d'intérieur abordables et les céramiques artisanales locales.",Houseplants are a proven mental health booster for students during winter. This shop prioritizes local makers and offer a plastic pot recycling program.,Les plantes d'intérieur sont un stimulant reconnu pour la santé mentale des étudiants en hiver. Cette boutique donne la priorité aux créateurs locaux et offre un programme de recyclage des pots en plastique.,"Bring your empty plastic nursery pots here for recycling, and pick up a ""low light"" plant for your dorm desk. ","Apportez vos pots de pépinière en plastique vides ici pour le recyclage, et choisissez une plante à « faible luminosité » pour votre bureau de résidence.",,https://www.plantandcurio.com/,45.406838,-75.712914
Nature & Wildlife,Scrim's Florist,"262 Elgin St, Ottawa, ON K2P 1L9",One of Ottawa's oldest florists (over 140 years!) located right in the heart of the Golden Triangle.,L'une des plus anciennes fleuristes d'Ottawa (plus de 140 ans !) située au cœur du Triangle d'or.,Supporting historic local businesses keeps our neighborhoods vibrant. They source seasonal blooms and are within walking distance for many off-campus students.,Soutenir les entreprises locales historiques maintient la vitalité de nos quartiers. Elles s'approvisionnent en fleurs de saison et sont à distance de marche pour de nombreux étudiants hors campus.,"Stop in for a ""just because"" single stem to brighten your apartment or grab a small succulent on your way down Elgin.",Entrez pour une tige unique « juste parce que » pour égayer votre appartement ou achetez une petite succulente en passant sur Elgin.,,https://www.scrimsflorist.com/?srsltid=AfmBOoo_YHp9EbZ-E-lNt1j46yah2NCHqKAqgVEfYgTtwLghSlet1Mnz,45.417958,-75.690804
Nature & Wildlife,Flowers Talk Tivoli,"282 Richmond Rd, Ottawa, ON K1Z 6X2",An eco-conscious florist in Westboro known for fair-trade flowers and championing Canadian makers.,Un fleuriste éco-responsable à Westboro connu pour ses fleurs équitables et son soutien aux créateurs canadiens.,"They go beyond just selling plants by offering ""Fair Trade"" certified blooms and showcasing locasl artisans, reducing the carbon footprint of your gits. ","Ils vont au-delà de la simple vente de plantes en offrant des fleurs certifiées « Commerce équitable » et en présentant des artisans locaux, réduisant l'empreinte carbone de vos cadeaux.","Visit their ""Canadian Makers"" section to find locally made gifts, or ask the staff for a pet-friendly recommendation.","Visitez leur section « Créateurs canadiens » pour trouver des cadeaux faits localement, ou demandez au personnel une recommandation adaptée aux animaux de compagnie.",,https://www.flowerstalk.ca/,45.392958,-75.751302
Sustainable Dining,Sula Wok,"184 Main St., Ottawa, ON K1S 1C6 ","Family-owned Asian street food operating a rooftop garden and composting system. They use a ""Cube"" reusable takeout container program to divert waste. ",Restaurant familial de cuisine de rue asiatique avec un jardin sur le toit et un système de compostage. Ils utilisent un programme de contenant réutilisable « Cube » pour réduire les déchets.,"They prove takeout can be circular. Their ""closed loop"" food waste system (rooftop composting) is a model for urban sustainability. ",Ils prouvent que la commande à emporter peut être circulaire. Leur système de déchets alimentaires en « boucle fermée » (compostage sur le toit) est un modèle de durabilité urbaine.,Order a meal using their reusable packaging. Ask which menu items feature herbs from their rooftop.,Commandez un repas en utilisant leur emballage réutilisable. Demandez quels plats du menu contiennent des herbes de leur toit.,,https://www.sulawok.com/,45.408943,-75.678264
Sustainable Dining,The Green Door,"198 Main St., Ottawa, ON K1S 1C6 ","A vegetarian buffet focusing on organic, seasonal, local ingredients. Their pay-by-weight model encourages conscious consumption. ","Un buffet végétarien axé sur des ingrédients biologiques, saisonniers et locaux. Leur modèle de paiement au poids encourage une consommation consciente.","A long-running example of sustainable food systems. By sourcing directly from local farmers and eliminating ""all-you-can-eat"" waste, they support the local agricultural economy. ","Un exemple de longue date de systèmes alimentaires durables. En s'approvisionnant directement chez les agriculteurs locaux, ils soutiennent l'économie agricole locale.",Take only what you can eat to minimize plate waste. Check out their bakery section for locally made tofu.,Ne prenez que ce que vous pouvez manger pour minimiser le gaspillage alimentaire. Consultez leur section bo,,https://www.thegreendoor.ca/,45.408296,-75.677698
Sustainable Dining,Pure Kitchen,"340 Elgin St., Ottawa, ON K2P 1M6 ",A scratch kitchen serving a fully plant-based menu. They focus on social sustainability by partnering with local food centres to address food insecurity.,Une cuisine maison servant un menu entièrement à base de plantes. Ils se concentrent sur la durabilité sociale en s'associant à des centres alimentaires locaux pour lutter contre l'insécurité alimentaire.,"They normalize plant-based eating by making it modern and accessible. Their ""community partner"" program ensures your dollar supports broader food justice. ",Ils normalisent l'alimentation à base de plantes en la rendant moderne et accessible. Leur programme « partenaire communautaire » assure que votre dollar soutient la justice alimentaire plus large.,"Ask about their monthly ""Community Feature"" item. Bring your own container for takeout. ",Renseignez-vous sur leur article mensuel « Caractéristique communautaire ». Apportez votre propre contenant pour les commandes à emporter.,,https://www.purekitchenottawa.com/,45.415839,-75.688973
Sustainable Dining,Chickpeas,"500 Terminal Ave., Ottawa, ON K1G 0Z3 ",Ottawa's first 100% vegan falafel eatery. They use locally sourced chickpeas to create authentic Palestinian cuisine without the carbon footprint of meat.,Le premier restaurant 100 % vegan de falafels à Ottawa. Ils utilisent des pois chiches locaux pour créer une cuisine palestinienne authentique sans l'empreinte carbone de la viande.,"Demonstrates that ""fast food"" can be healthy and ethical. By focusing on a low-carbon protein source (the chickpea), they offer a highly sustainable option. ","Démontre que la « restauration rapide » peut être saine et éthique. En se concentrant sur une source de protéines à faible empreinte carbone (le pois chiche), ils offrent une option très durable.",Try a falafel bowl. Read about their story to understand the cultural sustainability of preserving traditional recipes.,Essayez un bol de falafel. Lisez leur histoire pour comprendre la durabilité culturelle de la préservation des recettes traditionnelles.,,https://www.chickpeasottawa.ca/,45.414365,-75.647335
Sustainable Dining,Peace Garden Vegetarian,"40 Murray St., Ottawa, ON K1N 9K1 (Inside the quiet courtyard) ","A tranquil vegetarian haven hidden in the ByWard Market for over 30 years. It offers a peaceful atmosphere with a menu focused on wholesome, meat-free home cooking. ",Un havre végétarien tranquille caché dans le marché ByWard depuis plus de 30 ans. Il offre une atmosphère paisible avec un menu axé sur une cuisine maison sans viande et nourrissante.,"It provides a ""quiet third space"" in the city's busiest tourist district. Their longevity proves that a business built on mindfulness and plant-based food can thrive.",Il offre un « troisième espace calme » dans le quartier touristique le plus animé de la ville. Sa longévité prouve qu'une entreprise construite sur la pleine conscience et la nourriture à base de plantes peut prospérer.,"Escape the noise of the market for a quiet lunch. Try their daily curry or a ""Peace"" smoothie. ",Échappez au bruit du marché pour un déjeuner tranquille. Essayez leur curry du jour ou un smoothie « Paix ».,,https://maps.app.goo.gl/Zpaeh4qXWok8n6vg8,45.429167,-75.694562
Sustainable Dining,"Wild Oat Bakery, Café & Farm ","817 Bank St., Ottawa, ON K1S 2L1 ","A bakery that grows its own ingredients! They operate a farm 50km away and compost their scraps to create a true ""closed loop"" food system. ",Une boulangerie qui cultive ses propres ingrédients ! Ils exploitent une ferme à 50 km et compostent leurs déchets pour créer un véritable système alimentaire en « boucle fermée ».,"This is the gold standard for food sustainability. By growing their own grain and veggies, they drastically reduce the carbon footprint of every loaf of bread. ","C'est le summum de la durabilité alimentaire. En cultivant leur propre grain et leurs légumes, ils réduisent considérablement l'empreinte carbone de chaque miche de pain.",Buy a loaf of bread made with grain grown on their own farm. Ask about their farm compost program.,Achetez une miche de pain faite avec du grain cultivé sur leur propre ferme. Renseignez-vous sur leur programme de compost de ferme.,,https://wildoat.ca/,45.40259,-75.687817
Sustainable Dining,The Manx Pub,"370 Elgin St., Ottawa, ON K2P 1N1 ","An underground art hub and pub that proves ""pub grub"" can be inclusive. They are famous for their high-quality vegan options (like the tofu tacos) and supporting local artists. ",Un carrefour artistique souterrain et pub qui prouve que la « cuisine de pub » peut être inclusive. Ils sont célèbres pour leurs options véganes de haute qualité et leur soutien aux artistes locaux.,"It challenges the idea that sustainable eating is only for ""health food"" stores. It integrates plant-based options into mainstream nightlife and social culture. ",Il remet en question l'idée que manger durable se limite aux « magasins d'aliments naturels ». Il intègre des options à base de plantes dans la vie nocturne et la culture sociale dominantes.,Grab a pint and their famous smoked tofu sandwich. Look at the local art on the walls.,Prenez une pinte et leur fameux sandwich au tofu fumé. Regardez l'art local sur les murs.,,https://www.manxpub.com/,45.414963,-75.688204
Sustainable Dining,Astoria Bistro Botanique,"80 Prom. du Portage, Gatineau, QC J8X 2K1","A chic, fully plant-based bistro specializing in botanical cocktails and vegan comfort food. ",Un bistro chic entièrement à base de plantes spécialisé dans les cocktails botaniques et la nourriture réconfortante végane.,"It makes veganism feel modern and celebratory. By focusing on high-end flavour and design, they break the stereotype that plant-based food is boring. ","Il rend le véganisme moderne et festif. En misant sur la saveur et le design haut de gamme, ils brisent le stéréotype selon lequel la nourriture à base de plantes est ennuyeuse.",Cross the bridge for brunch. Try a botanical cocktail featuring local herbs.,Traversez le pont pour le brunch. Essayez un cocktail botanique à base d'herbes locales.,,https://www.astoriabistrobotanique.com/,45.424984,-75.718061
Sustainable Dining,Little Jo Berry's,"1305 Wellington St. W., Ottawa, ON K1Y 3B2","A fully vegan bakery and coffee shop that acts as a community hub. Known for huge treats and a safe, inclusive atmosphere. ",Une boulangerie et un café entièrement véganes qui servent de carrefour communautaire. Connus pour leurs énormes gâteries et leur atmosphère sûre et inclusive.,"It normalizes veganism by making it fun and indulgent. A strong ""Community Care"" focus supports local LGBTQ+ initiatives. ",Il normalise le véganisme en le rendant amusant et gourmand. Un fort accent sur le « soin communautaire » soutient les initiatives LGBTQ+ locales.,"Try a vegan ""Twinkie"" or donut. Check their community board for local events. ",Essayez un « Twinkie » végane ou un beignet. Consultez leur tableau communautaire pour les événements locaux.,,https://www.littlejoberrys.com/,45.398985,-75.735713
Sustainable Dining,Wilf & Ada's,"510 Bank St., Ottawa, ON K2P 1Z4",A scratch diner that prioritizes local sourcing. They make almost everything in-house and work directly with local farms for eggs and meat.,Un restaurant maison qui donne la priorité aux sources locales. Ils préparent presque tout sur place et travaillent directement avec des fermes locales pour les œufs et la viande.,"It shows that a classic ""greasy spoon"" diner can still support the local agricultural economy and reduce food miles. ",Il montre qu'un « greasy spoon » classique peut encore soutenir l'économie agricole locale et réduire les kilomètres alimentaires.,Go for breakfast and ask which farm supplied your eggs.,Allez-y pour le petit-déjeuner et demandez quelle ferme a fourni vos œufs.,,https://maps.app.goo.gl/G66yDfSLYY8h4bs69,45.410211,-75.692864
Thrift & Vintage,Lainey's Luck,"523 Bank St., Ottawa, ON K1S 3T5 ","Specializes in vintage and preloved clothing. Famous for ""buy by the pound"" sections. ",Spécialisée dans les vêtements vintage et d'occasion. Célèbre pour ses sections « achat au poids ».,A key spot in Ottawa's circular fashion community. Actively diverts textiles from the landfill and reduces consumption footprints.,Un endroit clé dans la communauté de mode circulaire d'Ottawa. Détourne activement les textiles des sites d'enfouissement et réduit les empreintes de consommation.,"Buy your next five items second-hand. Head to the ""buy the pound"" racks. ",Achetez vos cinq prochains articles d'occasion. Dirigez-vous vers les rayons « achat au poids ».,,https://laineysluck.ca/shop/,45.409799,-75.692136
Thrift & Vintage,Past Lives Thrift,"475 Somerset St. W., Ottawa, ON K1R 5J9 ","A curated vintage shop with a zero-waste philosophy. Shop fixtures are upcycled, and they run a ""Circle Back"" consignment program. ",Une boutique vintage organisée avec une philosophie zéro déchet. Les présentoirs sont upcyclés et ils gèrent un programme de consignation « Circle Back ».,"Truly embodies the circular economy; you can resell any item purchased there back to them, ensuring no waste is created. ","Incarne vraiment l'économie circulaire ; vous pouvez revendre tout article acheté là-bas, assurant qu'aucun déchet n'est créé.","Buy a wardrobe staple and participate in the ""Circle Back"" program. ",Achetez un incontournable de la garde-robe et participez au programme « Circle Back ».,,https://pastlivesthrift.com/,45.414126,-75.700033
Thrift & Vintage,Bellwether Vintage,"9 Florence St., Ottawa, ON K2P 0W6","A curated vintage shop offering high-quality, timeless pieces. They focus on natural fibers (wool, silk, linen) that last a lifetime. ","Une boutique vintage organisée proposant des pièces intemporelles de haute qualité. Elles se concentrent sur les fibres naturelles (laine, soie, lin) qui durent toute une vie.","Combats ""Fast Fashion"" by proving that older, well-made clothes are more stylish and durable than new disposable trends. ",Combat la « mode rapide » en prouvant que les vêtements plus anciens et bien faits sont plus élégants et durables que les nouvelles tendances jetables.,Invest in one high-quality vintage coat or sweater that will last you 10 years.,Investissez dans un manteau ou un pull vintage de haute qualité qui durera 10 ans.,,https://www.facebook.com/bellwethersvintage/,45.412082,-75.696032
Thrift & Vintage,Trove Fashion,"1000 Wellington St. W., Ottawa, ON K1Y 2X9",A consignment boutique for contemporary women's fashion. Locals bring in their gently used mid-to-high-end brands to be resold.,Une boutique de consignation pour la mode féminine contemporaine. Les habitants apportent leurs marques mi-gamme à haute gamme légèrement usagées pour être revendues.,"It keeps high-value clothing in circulation within the community, reducing the carbon footprint of manufacturing new luxury items. ","Maintient les vêtements de valeur en circulation au sein de la communauté, réduisant l'empreinte carbone de la fabrication de nouveaux articles de luxe.","Bring in your own gently used clothes for consignment. Browse for a ""new-to-you"" outfit. ",Apportez vos propres vêtements légèrement usagés pour la consignation. Parcourez pour une tenue « nouvelle pour vous ».,,https://www.trovefashion.com/,45.405054,-75.723029
Thrift & Vintage,Darling Vintage,"502 Somerset St. W., Ottawa, ON K1R 5J8","A colourful, quirky vintage shop with a focus on fun, accessible retro styles and accessories. ","Une boutique vintage colorée et originale axée sur des styles rétro amusants, accessibles, et des accessoires.",Makes sustainable fashion fun and approachable for students. It recycles pop-culture history through clothing.,Rend la mode durable amusante et accessible aux étudiants. Elle recycle l'histoire de la culture pop à travers les vêtements.,Find a unique accessory to complete an outfit without buying new plastic items.,Trouvez un accessoire unique pour compléter une tenue sans acheter de nouveaux articles en plastique.,,https://maps.app.goo.gl/xm6mcKcPuk2SGpdP7,45.413616,-75.700165
Thrift & Vintage,St. Vincent de Paul (Wellington),"1273 Wellington St. W., Ottawa, ON K1Y 3A6 ",A traditional charity thrift store where all profits stay local to support Ottawa residents in need.,Une friperie caritative traditionnelle où tous les profits restent locaux pour soutenir les résidents d'Ottawa dans le besoin.,"The ""social"" side of sustainability. Your purchase prevents landfill waste and directly funds food and housing for vulnerable neighbours. ",Le côté « social » de la durabilité. Votre achat prévient les déchets d'enfouissement et finance directement la nourriture et le logement pour les voisins vulnérables.,Donate household items you no longer need. Shop here for apartment essentials.,Donnez les articles ménagers dont vous n'avez plus besoin. Faites vos courses ici pour les essentiels de l'appartement.,,https://chezvincent.org/,45.399481,-75.733997
Waterways,Rideau Canal Paddling,Dow's Lake Pavilion (Queen Elizabeth Driveway).,"Explore the 200-year history and engineering of the Rideau Canal by canoe, kayak, or SUP. ","Explorez les 200 ans d'histoire et d'ingénierie du canal Rideau en canot, kayak ou SUP.",Offers a unique perspective on the historic significance of the waterway through the heart of Ottawa.,Offre une perspective unique sur la signification historique de la voie navigable au cœur d'Ottawa.,Support local rental businesses. Respect speed limits and the canal ecosystem.,Soutenez les entreprises de location locales. Respectez les limites de vitesse et l'écosystème du canal.,,https://parks.canada.ca/lhn-nhs/on/rideau/activ/pagaie-paddling,45.422856,-75.695688
Waterways,Ottawa City Rafting,102 Greenview Ave (Britannia Beach area).,Experience guided whitewater rafting on the Ottawa River with views of Parliament and the city's natural side.,Vivez du rafting en eaux vives guidé sur la rivière des Outaouais avec des vues sur le Parlement et le côté naturel de la ville.,"Fosters a direct connection to the health of the Ottawa River, Canada's great central waterway. ","Favorise un lien direct avec la santé de la rivière des Outaouais, la grande voie navigable centrale du Canada.",Experience the river firsthand. Check the Ottawa Riverkeeper’s Swim Guide before entering the water.,Vivez la rivière de première main. Consultez le Guide de baignade d'Ottawa Riverkeeper avant d'entrer dans l'eau.,,https://ottawatourism.ca/en/see-and-do/ottawa-city-rafting,45.364973,-75.800393
Waterways,Eco-Odyssée Water Maze,"52 Chem. des Sources, La Pêche, QC J0X 2W0 ",Paddle through a 6 km water maze winding through marshlands and beaver habitats.,Pagayez à travers un labyrinthe aquatique de 6 km serpentant à travers des marécages et des habitats de castors.,"Direct, non-disruptive access to a wetland ecosystem to learn about biodiversity and hydro-engineering. ",Accès direct et non perturbateur à un écosystème de zones humides pour apprendre sur la biodiversité et l'hydro-ingénierie.,Book a trip. Read interpretive panels about local fauna.,Réservez un voyage. Lisez les panneaux interprétatifs sur la faune locale.,,https://www.eco-odyssee.ca/,45.63989,-75.886069
Zero Waste & Refill,NU Grocery,145 Main St. (The Glebe) AND 1130 Wellington St. W.,Ottawa's premier Zero-Waste grocer. Bring your own containers to refill everything from spices and pasta to laundry soap.,"L'épicier zéro déchet par excellence d'Ottawa. Apportez vos propres contenants pour remplir tout, des épices et des pâtes au savon à lessive.","This store eliminates single-use plastic packaging entirely, proving that a low-impact lifestyle is possible without sacrificing quality. ","Ce magasin élimine entièrement les emballages en plastique à usage unique, prouvant qu'un mode de vie à faible impact est possible sans sacrifier la qualité.","Commit to one ""zero-waste swap"" a week (e.g., refillable shampoo). Vote with your dollar for businesses building a sustainable future. ","Engagez-vous dans un « échange zéro déchet » par semaine (par exemple, shampooing rechargeable). Votez avec votre dollar pour les entreprises qui construisent un avenir durable.",,https://nugrocery.com/,45.409799,-75.678325
Zero Waste & Refill,Ottawa Organics & Zero Waste,"1242 Bank St., Ottawa, ON K1S 3Y2 ","Provides local, certified organic groceries alongside an expansive zero-waste section. Stock up on fresh produce and bulk eco-friendly cleaning supplies with minimal packaging. ",Fournit des épiceries biologiques locales certifiées aux côtés d'une vaste section zéro déchet. Faites le plein de produits frais et de fournitures de nettoyage écologiques en vrac avec un minimum d'emballage.,Combines the benefits of a certified organic market with a bulk refillery. Supporting this business means prioritizing local food systems and minimizing packaging.,Combine les avantages d'un marché biologique certifié avec un refillery en vrac. Soutenir cette entreprise signifie prioriser les systèmes alimentaires locaux et minimiser les emballages.,Combine your purchases of fresh produce with your cleaning supply refills in one trip.,Combinez vos achats de produits frais avec vos recharges de fournitures de nettoyage en un seul voyage.,,https://ottawaorganics.ca/,45.390833,-75.680502
Zero Waste & Refill,Ottawa Farmer's Market,"1000 Exhibition Way, Ottawa, ON K1S 5J3 (Aberdeen Pavilion) ",The city’s premier producer-only market connects citizens directly with over 100 local farmers and artisans within 100km of the city.,"Le marché premier de la ville, uniquement pour les producteurs, connecte directement les citoyens avec plus de 100 agriculteurs et artisans locaux dans un rayon de 100 km de la ville.","It drastically reduces food miles. Look at the stone pavers in the Aberdeen Plaza outside, they are patterned after traditional Algonquin basketry. ","Réduit considérablement les kilomètres alimentaires. Regardez les pavés en pierre dans la Plaza Aberdeen à l'extérieur, ils sont modelés sur la vannerie algonquine traditionnelle.",Visit on a Sunday (even in winter!) to buy your weekly produce package-free.,Visitez le dimanche (même en hiver !) pour acheter votre paquet de produits hebdomadaires sans emballage.,,https://maps.app.goo.gl/5vfH2GrSv53vw2ZYA,45.399788,-75.682099
Zero Waste & Refill,Terra20,"197 Trainyards Dr., Ottawa, ON K1G 3X8","A department store dedicated to healthy, non-toxic, and sustainable products. They have a massive ""Ecobar"" for refilling cleaning supplies. ","Un grand magasin dédié aux produits sains, non toxiques et durables. Ils ont un immense « Ecobar » pour recharger les fournitures de nettoyage.","It makes sustainability convenient by putting everything (makeup, cleaners, baby gear) under one roof. ","Il rend la durabilité pratique en mettant tout (maquillage, produits de nettoyage, équipement bébé) sous un même toit.",Bring a mason jar to refill your dish soap or laundry detergent at the Ecobar.,Apportez un pot Mason pour recharger votre savon à vaisselle ou lessive à l'Ecobar.,,https://terra20.com/,45.411789,-75.639173
Zero Waste & Refill,613flea,"1000 Exhibition Way, Ottawa, ON K1S 5J3 (Aberdeen Pavilion)","A non-profit monthly market dedicated to promoting Ottawa's creative community, vintage sellers, and independent makers. ","Un marché mensuel à but non lucratif dédié à la promotion de la communauté créative d'Ottawa, des vendeurs vintage et des créateurs indépendants.","It is the ultimate ""Circular Economy"" event. By buying vintage and handmade here, you divert waste from landfills and support hundreds of local micro-businesses in one day. ","C'est l'événement ultime de l'« économie circulaire ». En achetant vintage et artisanal ici, vous détournez les déchets des sites d'enfouissement et soutenez des centaines de micro-entreprises locales.","Check their Instagram for the next date (usually monthly). Bring a tote bag and hunt for ""new-to-you"" treasures. ",Consultez leur Instagram pour la prochaine date (généralement mensuelle). Apportez un sac fourre-tout et chassez les trésors « nouveaux pour vous ».,,https://www.instagram.com/613flea?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,45.400063,-75.682811
Zero Waste & Refill,Parkdale Public Market,"366 Parkdale Ave, Ottawa, ON K1Y 1G8","One of Ottawa's oldest markets (since 1924!), connecting the Wellington West/Hintonburg community with local producers.","L'un des plus anciens marchés d'Ottawa (depuis 1924 !), connectant la communauté Wellington Ouest/Hintonburg avec les producteurs locaux.","Unlike the big grocery chains, this market supports regional agriculture and reduces food miles. It’s a vital hub for fresh, package-free produce in the city.","Contrairement aux grandes chaînes d'épicerie, ce marché soutient l'agriculture régionale et réduit les kilomètres alimentaires. C'est un carrefour vital pour les produits frais sans emballage dans la ville.",Visit in the summer/fall for local berries and corn. It’s a perfect pitstop if you are exploring the nearby shops in Hintonburg.,Visitez en été/automne pour les petits fruits et le maïs locaux. C'est un parfait arrêt si vous explorez les boutiques voisines de Hintonburg.,,https://parkdalepublicmarket.ca/,45.401416,-75.730071
